Collection date,G,GH,GR,GRY,GV,L,O,S,V,sum
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,22.222222222222218,22.222222222222218,33.33333333333333,0.0,0.0,11.111111111111109,0.0,11.111111111111109,0.0,1.2857142857142858
2020-01-08,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.42857142857142855
2020-01-09,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.42857142857142855
2020-01-10,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.42857142857142855
2020-01-11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.42857142857142855
2020-01-12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.2857142857142857
2020-01-13,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5714285714285714
2020-01-14,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5714285714285714
2020-01-15,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.42857142857142855
2020-01-16,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5714285714285714
2020-01-17,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5714285714285714
2020-01-18,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5714285714285714
2020-01-19,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5714285714285714
2020-01-20,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.2857142857142857
2020-01-21,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.2857142857142857
2020-01-22,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.42857142857142855
2020-01-23,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,0.0,0.7142857142857143
2020-01-24,0.0,0.0,0.0,0.0,0.0,28.57142857142857,42.857142857142854,28.57142857142857,0.0,1.0
